"term","fullTerm"
"dbpedia-owl:Agent","http://dbpedia.org/ontology/Agent"
"dbpedia-owl:owns","http://dbpedia.org/ontology/owns"
"npg:Agent","http://ns.nature.com/terms/Agent"
"gold:agent","http://purl.org/linguistics/gold/agent"
"voag:owns","http://voag.linkedmodel.org/voag#owns"
"crm:E39_Actor","http://www.cidoc-crm.org/cidoc-crm/E39_Actor"
"being:owned-by","http://contextus.net/ontology/ontomedia/ext/common/being#owned-by"
"schema:IndividualProduct","http://schema.org/IndividualProduct"
"marl:describesFeature","http://www.gsi.dit.upm.es/ontologies/marl/ns#describesFeature"
"marl:describesObjectPart","http://www.gsi.dit.upm.es/ontologies/marl/ns#describesObjectPart"
"schema:GiveAction","http://schema.org/GiveAction"
"schema:SendAction","http://schema.org/SendAction"
"frapo:owns","http://purl.org/cerif/frapo/owns"
"schema:owns","http://schema.org/owns"
"spt:owns","http://spitfire-project.eu/ontology/ns/owns"
"ebucore:owns","http://www.ebu.ch/metadata/ontologies/ebucore/ebucore#owns"
"ptop:owns","http://www.ontotext.com/proton/protontop#owns"
"event:agent","http://purl.org/NET/c4dm/event.owl#agent"
"prov:Agent","http://www.w3.org/ns/prov#Agent"
"dcterms:Agent","http://purl.org/dc/terms/Agent"
"edm:Agent","http://www.europeana.eu/schemas/edm/Agent"
"acl:agent","http://www.w3.org/ns/auth/acl#agent"
"rdf:Property","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property"
"akt:PhD-Student","http://www.aktors.org/ontology/portal#PhD-Student"
"poder:StudentEducationalConnection","http://dev.poderopedia.com/vocab/StudentEducationalConnection"
"swrc:student","http://swrc.ontoware.org/ontology#student"
"swpo:Student","http://sw-portal.deri.org/ontologies/swportal#Student"
"swrc:Student","http://swrc.ontoware.org/ontology#Student"
"vivo:Student","http://vivoweb.org/ontology/core#Student"
"sio:SIO_000405","http://semanticscience.org/resource/SIO_000405"
"poder:hasStudent","http://dev.poderopedia.com/vocab/hasStudent"
"teach:Student","http://linkedscience.org/teach/ns#Student"
"vivo:StudentOrganization","http://vivoweb.org/ontology/core#StudentOrganization"
"vivo:University","http://vivoweb.org/ontology/core#University"
"lgdo:University","http://linkedgeodata.org/ontology/University"
"dbpedia-owl:university","http://dbpedia.org/ontology/university"
"swpo:University","http://sw-portal.deri.org/ontologies/swportal#University"
"opus:University","http://lsdis.cs.uga.edu/projects/semdis/opus#University"
"nlon:University","http://lod.nl.go.kr/ontology/University"
"sio:SIO_000290","http://semanticscience.org/resource/SIO_000290"
"frapo:University","http://purl.org/cerif/frapo/University"
"akt:University","http://www.aktors.org/ontology/portal#University"
"dbpedia-owl:University","http://dbpedia.org/ontology/University"
"swc:Chair","http://data.semanticweb.org/ns/swc/ontology#Chair"
"lgdo:Water","http://linkedgeodata.org/ontology/Water"
"edac:Air","http://ontology.cybershare.utep.edu/ELSEWeb/elseweb-edac.owl#Air"
"hto:Air","http://vcharpenay.github.io/hto/hto.xml#Air"
"con:nearestAirport","http://www.w3.org/2000/10/swap/pim/contact#nearestAirport"
"lgdo:Waterfall","http://linkedgeodata.org/ontology/Waterfall"
"lgdo:Fountain","http://linkedgeodata.org/ontology/Fountain"
"lgdo:Spring","http://linkedgeodata.org/ontology/Spring"
"lgdo:DrinkingWater","http://linkedgeodata.org/ontology/DrinkingWater"
"lgdo:WaterPark","http://linkedgeodata.org/ontology/WaterPark"
"iso37120:Finance","http://ontology.eil.utoronto.ca/ISO37120.owl#Finance"
"km4c:Italian_finance_police","http://www.disit.org/km4city/schema#Italian_finance_police"
"umbel:FinanceEconomy","http://umbel.org/umbel#FinanceEconomy"
"umbel:relatesToFinanceEconomy","http://umbel.org/umbel#relatesToFinanceEconomy"
"frapo:Funding","http://purl.org/cerif/frapo/Funding"
"scoro:FinancialRole","http://purl.org/spar/scoro/FinancialRole"
"moac:FinancialServicesAvailable","http://observedchange.com/moac/ns#FinancialServicesAvailable"
"ssno:Deployment","http://www.w3.org/ns/ssn/Deployment"
"po:producer","http://purl.org/ontology/po/producer"
"schema:FinancialProduct","http://schema.org/FinancialProduct"
"mo:MusicArtist","http://purl.org/ontology/mo/MusicArtist"
"af:MusicSegment","http://purl.org/ontology/af/MusicSegment"
"mo:PublishedScore","http://purl.org/ontology/mo/PublishedScore"
"mrel:mcp","http://id.loc.gov/vocabulary/relators/mcp"
"lgdo:Music","http://linkedgeodata.org/ontology/Music"
"gndo:musician","http://d-nb.info/standards/elementset/gnd#musician"
"mo:Performance","http://purl.org/ontology/mo/Performance"
"sim:weight","http://purl.org/ontology/similarity/weight"
"mo:performer","http://purl.org/ontology/mo/performer"
"sim:element","http://purl.org/ontology/similarity/element"
"schema:Airline","http://schema.org/Airline"
"pext:Airline","http://www.ontotext.com/proton/protonext#Airline"
"dbpedia-owl:Airline","http://dbpedia.org/ontology/Airline"
"nas:airlineCallsign","https://data.nasa.gov/ontologies/atmonto/NAS#airlineCallsign"
"dbpedia-owl:iataAirlineCode","http://dbpedia.org/ontology/iataAirlineCode"
"dbpedia-owl:icaoAirlineCode","http://dbpedia.org/ontology/icaoAirlineCode"
"schema:Flight","http://schema.org/Flight"
"km4c:Charter_airlines","http://www.disit.org/km4city/schema#Charter_airlines"
"nas:countryOfRegistry","https://data.nasa.gov/ontologies/atmonto/NAS#countryOfRegistry"
"atm:operatedBy","https://data.nasa.gov/ontologies/atmonto/ATM#operatedBy"
"vivo:FundingOrganization","http://vivoweb.org/ontology/core#FundingOrganization"
"earth:Funding","http://linked.earth/ontology#Funding"
"akt:funding-source","http://www.aktors.org/ontology/portal#funding-source"
"cerif:Funding","http://www.eurocris.org/ontologies/cerif/1.3#Funding"
"cerif:funding","http://www.eurocris.org/ontologies/cerif/1.3#funding"
"frapo:FundingApplication","http://purl.org/cerif/frapo/FundingApplication"
"frapo:FundingProgramme","http://purl.org/cerif/frapo/FundingProgramme"
"frapo:FundingAgency","http://purl.org/cerif/frapo/FundingAgency"
"frapo:providesFractionOfTotalFunding","http://purl.org/cerif/frapo/providesFractionOfTotalFunding"
"akt:Academic","http://www.aktors.org/ontology/portal#Academic"
"vivo:AcademicDepartment","http://vivoweb.org/ontology/core#AcademicDepartment"
"bibo:AcademicArticle","http://purl.org/ontology/bibo/AcademicArticle"
"sio:SIO_000406","http://semanticscience.org/resource/SIO_000406"
"whois:academicCareer","http://www.kanzaki.com/ns/whois#academicCareer"
"gndo:academicDegree","http://d-nb.info/standards/elementset/gnd#academicDegree"
"vivo:AcademicTerm","http://vivoweb.org/ontology/core#AcademicTerm"
"swc:AcademicEvent","http://data.semanticweb.org/ns/swc/ontology#AcademicEvent"
"dbpedia-owl:AcademicConference","http://dbpedia.org/ontology/AcademicConference"
"pext:AcademicJournal","http://www.ontotext.com/proton/protonext#AcademicJournal"
"ebucore:title","http://www.ebu.ch/metadata/ontologies/ebucore/ebucore#title"
"ebucore:Keyword","http://www.ebu.ch/metadata/ontologies/ebucore/ebucore#Keyword"
"ebucore:hasKeyword","http://www.ebu.ch/metadata/ontologies/ebucore/ebucore#hasKeyword"
"ebucore:hasSubject","http://www.ebu.ch/metadata/ontologies/ebucore/ebucore#hasSubject"
"ebucore:hasFormat","http://www.ebu.ch/metadata/ontologies/ebucore/ebucore#hasFormat"
"ebucore:summary","http://www.ebu.ch/metadata/ontologies/ebucore/ebucore#summary"
"ebucore:hasTrack","http://www.ebu.ch/metadata/ontologies/ebucore/ebucore#hasTrack"
"ebucore:alternativeTitle","http://www.ebu.ch/metadata/ontologies/ebucore/ebucore#alternativeTitle"
"ebucore:originalTitle","http://www.ebu.ch/metadata/ontologies/ebucore/ebucore#originalTitle"
"ebucore:duration","http://www.ebu.ch/metadata/ontologies/ebucore/ebucore#duration"
"crm:E50_Date","http://www.cidoc-crm.org/cidoc-crm/E50_Date"
"npg:date","http://ns.nature.com/terms/date"
"dcterms:modified","http://purl.org/dc/terms/modified"
"dcterms:created","http://purl.org/dc/terms/created"
"dcterms:issued","http://purl.org/dc/terms/issued"
"igeo:date","http://rdf.insee.fr/def/geo#date"
"skos:Concept","http://www.w3.org/2004/02/skos/core#Concept"
"security:SecurityConcept","http://securitytoolbox.appspot.com/securityMain#SecurityConcept"
"skos:inScheme","http://www.w3.org/2004/02/skos/core#inScheme"
"skos:notation","http://www.w3.org/2004/02/skos/core#notation"
"npg:Concept","http://ns.nature.com/terms/Concept"
"skos:altLabel","http://www.w3.org/2004/02/skos/core#altLabel"
"uniprot:Concept","http://purl.uniprot.org/core/Concept"
"skos:ConceptScheme","http://www.w3.org/2004/02/skos/core#ConceptScheme"
"skos:hasTopConcept","http://www.w3.org/2004/02/skos/core#hasTopConcept"
"skos:broader","http://www.w3.org/2004/02/skos/core#broader"
"security:SecurityMechanism","http://securitytoolbox.appspot.com/securityMain#SecurityMechanism"
"stac:WebSecurityMechanism","http://securitytoolbox.appspot.com/stac#WebSecurityMechanism"
"stac:OperatingSystemSecurityMechanism","http://securitytoolbox.appspot.com/stac#OperatingSystemSecurityMechanism"
"stac:DatabaseSecurityMechanism","http://securitytoolbox.appspot.com/stac#DatabaseSecurityMechanism"
"stac:SensorSecurityMechanism","http://securitytoolbox.appspot.com/stac#SensorSecurityMechanism"
"stac:MeshSecurityMechanism","http://securitytoolbox.appspot.com/stac#MeshSecurityMechanism"
"stac:ProgrammingLanguageSecurityMechanism","http://securitytoolbox.appspot.com/stac#ProgrammingLanguageSecurityMechanism"
"stac:CloudSecurityMechanism","http://securitytoolbox.appspot.com/stac#CloudSecurityMechanism"
"stac:FrameworkSecurityMechanism","http://securitytoolbox.appspot.com/stac#FrameworkSecurityMechanism"
"stac:LTESecurityMechanism","http://securitytoolbox.appspot.com/stac#LTESecurityMechanism"
"moac:GroupViolence","http://observedchange.com/moac/ns#GroupViolence"
"moac:Riot","http://observedchange.com/moac/ns#Riot"
"vgo:SpecialPlayStyle","http://purl.org/net/VideoGameOntology#SpecialPlayStyle"
"dcterms:provenance","http://purl.org/dc/terms/provenance"
"ov:provenance","http://open.vocab.org/terms/provenance"
"voag:Provenance","http://voag.linkedmodel.org/voag#Provenance"
"pat:provenance","http://purl.org/hpi/patchr#provenance"
"isoadr:Address.provenance","http://reference.data.gov.au/def/ont/iso19160-1-address#Address.provenance"
"isoadr:AddressComponent.provenance","http://reference.data.gov.au/def/ont/iso19160-1-address#AddressComponent.provenance"
"r4r:Provenance","http://guava.iis.sinica.edu.tw/r4r/Provenance"
"prov:Entity","http://www.w3.org/ns/prov#Entity"
"prov:endedAtTime","http://www.w3.org/ns/prov#endedAtTime"
"prov:startedAtTime","http://www.w3.org/ns/prov#startedAtTime"
"ruto:Binding","http://rdfunit.aksw.org/ns/core#Binding"
"cbo:binding","http://comicmeta.org/cbo/binding"
"ruto:binding","http://rdfunit.aksw.org/ns/core#binding"
"cbo:Binding","http://comicmeta.org/cbo/Binding"
"gr:Offering","http://purl.org/goodrelations/v1#Offering"
"mrel:bdd","http://id.loc.gov/vocabulary/relators/bdd"
"obo:OBI_0001588","http://purl.obolibrary.org/obo/OBI_0001588"
"sp:bindings","http://spinrdf.org/sp#bindings"
"sio:SIO_010040","http://semanticscience.org/resource/SIO_010040"
"obo:OBI_0001146","http://purl.obolibrary.org/obo/OBI_0001146"
"dicom:Tag.2000.0063","http://purl.org/healthcarevocab/v1#Tag.2000.0063"
"dicom:CollationFlag","http://purl.org/healthcarevocab/v1#CollationFlag"
"frbrer:P3077","http://iflastandards.info/ns/fr/frbr/frbrer/P3077"
"lawd:CollationItem","http://lawd.info/ontology/CollationItem"
"ldp:pageSortCollation","http://www.w3.org/ns/ldp#pageSortCollation"
"lawd:witness","http://lawd.info/ontology/witness"
"dcterms:format","http://purl.org/dc/terms/format"
"dce:format","http://purl.org/dc/elements/1.1/format"
"dbpedia-owl:format","http://dbpedia.org/ontology/format"
"cwork:Format","http://www.bbc.co.uk/ontologies/creativework/Format"
"dcterms:hasFormat","http://purl.org/dc/terms/hasFormat"
"pmlp:hasFormat","http://inference-web.org/2.0/pml-provenance.owl#hasFormat"
"dita:format","http://purl.org/dita/ns#format"
"dcterms:type","http://purl.org/dc/terms/type"
"cbo:format","http://comicmeta.org/cbo/format"
"dcterms:extent","http://purl.org/dc/terms/extent"
"osgeom:extent","http://data.ordnancesurvey.co.uk/ontology/geometry/extent"
"locah:Extent","http://data.archiveshub.ac.uk/def/Extent"
"locah:extent","http://data.archiveshub.ac.uk/def/extent"
"bf:extent","http://id.loc.gov/ontologies/bibframe/extent"
"ext:extent","http://def.seegrid.csiro.au/isotc211/iso19115/2003/extent#extent"
"md:extent","http://def.seegrid.csiro.au/isotc211/iso19115/2003/metadata#extent"
"bf:Extent","http://id.loc.gov/ontologies/bibframe/Extent"
"dq:extent","http://def.seegrid.csiro.au/isotc211/iso19115/2003/dataquality#extent"
"ext:Extent","http://def.seegrid.csiro.au/isotc211/iso19115/2003/extent#Extent"
"li:statement","http://def.seegrid.csiro.au/isotc211/iso19115/2003/lineage#statement"
"rdf:Statement","http://www.w3.org/1999/02/22-rdf-syntax-ns#Statement"
"skos:definition","http://www.w3.org/2004/02/skos/core#definition"
"sro:Statement","http://salt.semanticauthoring.org/ontologies/sro#Statement"
"dce:rights","http://purl.org/dc/elements/1.1/rights"
"bf:provisionActivityStatement","http://id.loc.gov/ontologies/bibframe/provisionActivityStatement"
"bf:seriesStatement","http://id.loc.gov/ontologies/bibframe/seriesStatement"
"bf:subseriesStatement","http://id.loc.gov/ontologies/bibframe/subseriesStatement"
"uri4uri:Statement","http://uri4uri.net/vocab#Statement"
"rec54:ActivityStatement","http://www.w3.org/2001/02pd/rec54#ActivityStatement"
"skos:example","http://www.w3.org/2004/02/skos/core#example"
"lexinfo:example","http://www.lexinfo.net/ontology/2.0/lexinfo#example"
"vann:example","http://purl.org/vocab/vann/example"
"ex:example","http://purl.org/net/ns/ex#example"
"ex:Example","http://purl.org/net/ns/ex#Example"
"dk:Example","http://www.data-knowledge.org/dk/Example"
"lemon:example","http://lemon-model.net/lemon#example"
"void:exampleResource","http://rdfs.org/ns/void#exampleResource"
"ex:exampleOf","http://purl.org/net/ns/ex#exampleOf"
"music:Saxophone","http://www.kanzaki.com/ns/music#Saxophone"
"ontopic:isCoreConceptFor","http://www.ontologydesignpatterns.org/ont/dul/ontopic.owl#isCoreConceptFor"
"dul:specializes","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#specializes"
"dul:covers","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#covers"
"dul:isCoveredBy","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#isCoveredBy"
"dul:characterizes","http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#characterizes"
"gndo:definition","http://d-nb.info/standards/elementset/gnd#definition"
"lemon:SenseDefinition","http://lemon-model.net/lemon#SenseDefinition"
"api:definition","http://purl.org/linked-data/api/vocab#definition"
"lemon:definition","http://lemon-model.net/lemon#definition"
"vaem:comment","http://www.linkedmodel.org/schema/vaem#comment"
"md:definition","http://def.seegrid.csiro.au/isotc211/iso19115/2003/metadata#definition"
"sio:SIO_000135","http://semanticscience.org/resource/SIO_000135"
"ebucore:trackDefinition","http://www.ebu.ch/metadata/ontologies/ebucore/ebucore#trackDefinition"
"obo:IAO_0000115","http://purl.obolibrary.org/obo/IAO_0000115"
"dcterms:source","http://purl.org/dc/terms/source"
"dce:source","http://purl.org/dc/elements/1.1/source"
"pmlp:hasSource","http://inference-web.org/2.0/pml-provenance.owl#hasSource"
"pmlp:Source","http://inference-web.org/2.0/pml-provenance.owl#Source"
"dsn:sourceResource","http://purl.org/dsnotify/vocab/eventset/sourceResource"
"dsn:sourceDataset","http://purl.org/dsnotify/vocab/eventset/sourceDataset"
"xkos:sourceConcept","http://rdf-vocabulary.ddialliance.org/xkos#sourceConcept"
"pmlp:SourceUsage","http://inference-web.org/2.0/pml-provenance.owl#SourceUsage"
"ruto:source","http://rdfunit.aksw.org/ns/core#source"
"foaf:knows","http://xmlns.com/foaf/0.1/knows"
"identity:knows","http://www.identity.org/ontologies/identity.owl#knows"
"schema:knows","http://schema.org/knows"
"trait:knows","http://contextus.net/ontology/ontomedia/ext/common/trait#knows"
"sor:knows","http://purl.org/net/soron/knows"
"rel:knowsOf","http://purl.org/vocab/relationship/knowsOf"
"oo:contact","http://purl.org/openorg/contact"
"rel:knowsByReputation","http://purl.org/vocab/relationship/knowsByReputation"
"rel:knowsInPassing","http://purl.org/vocab/relationship/knowsInPassing"
"agrelon:hasAcquaintance","http://d-nb.info/standards/elementset/agrelon#hasAcquaintance"
"nao:endorsedBy","http://www.semanticdesktop.org/ontologies/2007/08/15/nao#endorsedBy"
"ibis:endorsed-by","https://privatealpha.com/ontology/ibis/1#endorsed-by"
"dcterms:description","http://purl.org/dc/terms/description"
"lgdo:City","http://linkedgeodata.org/ontology/City"
"lgdo:Hamlet","http://linkedgeodata.org/ontology/Hamlet"
"schema:skills","http://schema.org/skills"
"spcm:skills","http://spi-fm.uca.es/spdef/models/deployment/spcm/1.0#skills"
"dbpedia-owl:skills","http://dbpedia.org/ontology/skills"
"ontosec:Skills","http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl#Skills"
"cerif:ExpSkill","http://www.eurocris.org/ontologies/cerif/1.3#ExpSkill"
"schema:experienceRequirements","http://schema.org/experienceRequirements"
"ontosec:Cost","http://www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl#Cost"
"frapo:hasExpertise","http://purl.org/cerif/frapo/hasExpertise"
"cco:competence","http://purl.org/ontology/cco/core#competence"
"dcterms:MethodOfInstruction","http://purl.org/dc/terms/MethodOfInstruction"
"cogs:Script","http://vocab.deri.ie/cogs#Script"
"rdag1:script","http://rdvocab.info/Elements/script"
"fabio:Script","http://purl.org/spar/fabio/Script"
"ebucore:script","http://www.ebu.ch/metadata/ontologies/ebucore/ebucore#script"
"dce:description","http://purl.org/dc/elements/1.1/description"
"lvont:Script","http://lexvo.org/ontology#Script"
"bf:Script","http://id.loc.gov/ontologies/bibframe/Script"
"d2rq:startupSQLScript","http://www.wiwiss.fu-berlin.de/suhl/bizer/D2RQ/0.1#startupSQLScript"
"lvont:inScript","http://lexvo.org/ontology#inScript"
"gn:countryCode","http://www.geonames.org/ontology#countryCode"
"gn:name","http://www.geonames.org/ontology#name"
"gn:GeonamesFeature","http://www.geonames.org/ontology#GeonamesFeature"
"gn:geonamesID","http://www.geonames.org/ontology#geonamesID"
"gn:Feature","http://www.geonames.org/ontology#Feature"
"gn:population","http://www.geonames.org/ontology#population"
"gn:parentFeature","http://www.geonames.org/ontology#parentFeature"
"gn:featureClass","http://www.geonames.org/ontology#featureClass"
"gn:featureCode","http://www.geonames.org/ontology#featureCode"
"igeo:codeAdministratifGeonames","http://rdf.insee.fr/def/geo#codeAdministratifGeonames"
"mrel:edm","http://id.loc.gov/vocabulary/relators/edm"
"skos:relatedMatch","http://www.w3.org/2004/02/skos/core#relatedMatch"
"edm:aggregatedCHO","http://www.europeana.eu/schemas/edm/aggregatedCHO"
"edm:rights","http://www.europeana.eu/schemas/edm/rights"
"edm:country","http://www.europeana.eu/schemas/edm/country"
"edm:EuropeanaAggregation","http://www.europeana.eu/schemas/edm/EuropeanaAggregation"
"edm:ProvidedCHO","http://www.europeana.eu/schemas/edm/ProvidedCHO"
"edm:language","http://www.europeana.eu/schemas/edm/language"
"edm:hasView","http://www.europeana.eu/schemas/edm/hasView"
"dbpedia-owl:Hotel","http://dbpedia.org/ontology/Hotel"
"lgdo:Hotel","http://linkedgeodata.org/ontology/Hotel"
"schema:Hotel","http://schema.org/Hotel"
"pext:Hotel","http://www.ontotext.com/proton/protonext#Hotel"
"brt:Hotel","http://brt.basisregistraties.overheid.nl/def/top10nl#Hotel"
"acco:Hotel","http://purl.org/acco/ns#Hotel"
"km4c:Hotel","http://www.disit.org/km4city/schema#Hotel"
"sioc:about","http://rdfs.org/sioc/ns#about"
"lgdo:Hostel","http://linkedgeodata.org/ontology/Hostel"
"lgdo:GuestHouse","http://linkedgeodata.org/ontology/GuestHouse"
"vgo:Loyalty","http://purl.org/net/VideoGameOntology#Loyalty"
"schema:programMembershipUsed","http://schema.org/programMembershipUsed"
"schema:ProgramMembership","http://schema.org/ProgramMembership"
"odrl:Privacy","http://www.w3.org/ns/odrl/2/Privacy"
"dcterms:accessRights","http://purl.org/dc/terms/accessRights"
"nao:privacyLevel","http://www.semanticdesktop.org/ontologies/2007/08/15/nao#privacyLevel"
"ppo:PrivacyPreference","http://vocab.deri.ie/ppo#PrivacyPreference"
"acm:K.4.1.5","http://acm.rkbexplorer.com/ontologies/acm#K.4.1.5"
"gdprt:PrivacyByDesign","https://w3id.org/GDPRtEXT#PrivacyByDesign"
"ppo:Create","http://vocab.deri.ie/ppo#Create"
"ppo:Delete","http://vocab.deri.ie/ppo#Delete"
"ppo:Update","http://vocab.deri.ie/ppo#Update"
"frbr:Manifestation","http://purl.org/vocab/frbr/core#Manifestation"
"frbr:exemplar","http://purl.org/vocab/frbr/core#exemplar"
"frbr:Item","http://purl.org/vocab/frbr/core#Item"
"frbre:hasPartManifestation","http://purl.org/vocab/frbr/extended#hasPartManifestation"
"frbre:AutonomousWork","http://purl.org/vocab/frbr/extended#AutonomousWork"
"frbre:complementsExpression","http://purl.org/vocab/frbr/extended#complementsExpression"
"frbre:isAReferentialSuccessorToExpression","http://purl.org/vocab/frbr/extended#isAReferentialSuccessorToExpression"
"frbre:isAReproductionOfItem","http://purl.org/vocab/frbr/extended#isAReproductionOfItem"
"frbre:isAnImitationOfWork","http://purl.org/vocab/frbr/extended#isAnImitationOfWork"
"umbel:isLike","http://umbel.org/umbel#isLike"
"ov:hasNationality","http://open.vocab.org/terms/hasNationality"
"umbel:Activities","http://umbel.org/umbel#Activities"
"umbel:Chemistry","http://umbel.org/umbel#Chemistry"
"umbel:Diseases","http://umbel.org/umbel#Diseases"
"umbel:NaturalPhenomena","http://umbel.org/umbel#NaturalPhenomena"
"umbel:TopicsCategories","http://umbel.org/umbel#TopicsCategories"
