"Ranker","Configuration","Fold","MAP","MAP_improvement","MAP_pvalue","NDCG@3","NDCG@3_improvement","NDCG@3_pvalue","NDCG@5","NDCG@5_improvement","NDCG@5_pvalue","NDCG@10","NDCG@10_improvement","NDCG@10_pvalue","ERR@3","ERR@3_improvement","ERR@3_pvalue","ERR@5","ERR@5_improvement","ERR@5_pvalue","ERR@10","ERR@10_improvement","ERR@10_pvalue"
"AdaRank","CBRBench","5","0.4845","+0.0516 (+11.93%)","0","0.3702","+0.1061 (+40.19%)","0","0.3689","+0.0679 (+22.55%)","0","0.4019","+0.0452 (+12.67%)","0","0.1022","+0.0345 (+50.93%)","0","0.1154","+0.0317 (+37.88%)","0","0.1335","+0.0307 (+29.87%)","0"
"AdaRank","CBRBench","MEAN","0.49232",NA,"0","0.3781",NA,"0","0.37942",NA,"0","0.41068",NA,"0","0.10606",NA,"0","0.12016",NA,"0","0.13792",NA,"0"
"AdaRank","LOVBenchFull","1","1","+0.5654 (+130.11%)","0","1","+0.74 (+284.55%)","0","1","+0.6977 (+230.83%)","0","1","+0.6386 (+176.73%)","0","0.3074","+0.2356 (+328.34%)","0","0.3293","+0.2404 (+270.15%)","0","0.3486","+0.2396 (+219.81%)","0"
"AdaRank","LOVBenchFull","2","0.8793","+0.4477 (+103.74%)","0","0.7449","+0.4751 (+176.13%)","0","0.8042","+0.5042 (+168.07%)","0","0.8708","+0.517 (+146.11%)","0","0.2218","+0.1473 (+197.67%)","0","0.2491","+0.1589 (+176.34%)","0","0.2712","+0.1617 (+147.56%)","0"
"AdaRank","LOVBenchFull","3","0.8335","+0.3957 (+90.37%)","0","0.9194","+0.6525 (+244.54%)","0","0.904","+0.5977 (+195.13%)","0","0.8125","+0.4474 (+122.5%)","0","0.2629","+0.1912 (+266.31%)","0","0.2831","+0.1947 (+219.99%)","0","0.2949","+0.1872 (+173.87%)","0"
"AdaRank","LOVBenchFull","4","0.8795","+0.4507 (+105.12%)","0","0.7432","+0.4996 (+205.1%)","0","0.8033","+0.5179 (+181.41%)","0","0.8711","+0.5205 (+148.49%)","0","0.215","+0.1486 (+223.82%)","0","0.2425","+0.1596 (+192.69%)","0","0.2649","+0.1618 (+157.08%)","0"
"AdaRank","LOVBenchFull","5","0.9993","+0.5664 (+130.83%)","0","0.9993","+0.7352 (+278.43%)","0","0.9993","+0.6983 (+231.98%)","0","0.9993","+0.6425 (+180.1%)","0","0.2995","+0.2318 (+342.12%)","0","0.3211","+0.2374 (+283.81%)","0","0.3402","+0.2374 (+231.05%)","0"
"AdaRank","LOVBenchFull","MEAN","0.91832",NA,"0","0.88136",NA,"0","0.90216",NA,"0","0.91074",NA,"0","0.26132",NA,"0","0.28502",NA,"0","0.30396",NA,"0"
"AdaRank","LOVBenchLight","1","0.8802","+0.4457 (+102.55%)","0","0.7454","+0.4853 (+186.63%)","0","0.8036","+0.5013 (+165.85%)","0","0.8704","+0.509 (+140.86%)","0","0.2172","+0.1455 (+202.71%)","0","0.2449","+0.1559 (+175.25%)","0","0.2676","+0.1586 (+145.48%)","0"
"AdaRank","LOVBenchLight","2","0.8793","+0.4477 (+103.74%)","0","0.7449","+0.4751 (+176.13%)","0","0.8042","+0.5042 (+168.07%)","0","0.8708","+0.517 (+146.11%)","0","0.2218","+0.1473 (+197.67%)","0","0.2491","+0.1589 (+176.34%)","0","0.2712","+0.1617 (+147.56%)","0"
"AdaRank","LOVBenchLight","3","0.8335","+0.3957 (+90.37%)","0","0.9194","+0.6525 (+244.54%)","0","0.904","+0.5977 (+195.13%)","0","0.8125","+0.4474 (+122.5%)","0","0.2629","+0.1912 (+266.31%)","0","0.2831","+0.1947 (+219.99%)","0","0.2949","+0.1872 (+173.87%)","0"
"AdaRank","LOVBenchLight","4","0.8795","+0.4507 (+105.12%)","0","0.7432","+0.4996 (+205.1%)","0","0.8033","+0.5179 (+181.41%)","0","0.8711","+0.5205 (+148.49%)","0","0.215","+0.1486 (+223.82%)","0","0.2425","+0.1596 (+192.69%)","0","0.2649","+0.1618 (+157.08%)","0"
"AdaRank","LOVBenchLight","5","0.8832","+0.4503 (+104.02%)","0","0.7461","+0.482 (+182.54%)","0","0.8074","+0.5064 (+168.25%)","0","0.8745","+0.5177 (+145.12%)","0","0.2152","+0.1474 (+217.61%)","0","0.2428","+0.1591 (+190.23%)","0","0.2653","+0.1626 (+158.19%)","0"
"AdaRank","LOVBenchLight","MEAN","0.87114",NA,"0","0.7798",NA,"0","0.8245",NA,"0","0.85986",NA,"0","0.22642",NA,"0","0.25248",NA,"0","0.27278",NA,"0"
