"Ranker","Configuration","Fold","MAP","MAP_improvement","MAP_pvalue","NDCG@3","NDCG@3_improvement","NDCG@3_pvalue","NDCG@5","NDCG@5_improvement","NDCG@5_pvalue","NDCG@10","NDCG@10_improvement","NDCG@10_pvalue","ERR@3","ERR@3_improvement","ERR@3_pvalue","ERR@5","ERR@5_improvement","ERR@5_pvalue","ERR@10","ERR@10_improvement","ERR@10_pvalue"
"RankNet","DWRank","5","0.5892","+0.1563 (+36.11%)","0","0.5208","+0.2567 (+97.22%)","0","0.5334","+0.2324 (+77.21%)","0","0.5545","+0.1977 (+55.42%)","0","0.1468","+0.0791 (+116.73%)","0","0.1676","+0.0839 (+100.28%)","0","0.1862","+0.0834 (+81.18%)","0"
"RankNet","DWRank","MEAN","0.57184",NA,"0","0.49658",NA,"0","0.50844",NA,"0","0.53558",NA,"0","0.14496",NA,"0","0.16464",NA,"0","0.1837",NA,"0"
"RankNet","CBRBench","1","0.5654","+0.1309 (+30.11%)","0","0.4855","+0.2255 (+86.71%)","0","0.4884","+0.1861 (+61.57%)","0","0.5167","+0.1553 (+42.97%)","0","0.1409","+0.0691 (+96.3%)","0","0.1583","+0.0694 (+77.96%)","0","0.1782","+0.0692 (+63.5%)","0"
"RankNet","CBRBench","2","0.5837","+0.1521 (+35.25%)","0","0.5048","+0.235 (+87.13%)","0","0.5059","+0.2059 (+68.62%)","0","0.5341","+0.1803 (+50.96%)","0","0.1475","+0.073 (+97.93%)","0","0.1659","+0.0758 (+84.09%)","0","0.186","+0.0764 (+69.74%)","0"
"RankNet","CBRBench","3","0.5686","+0.1308 (+29.88%)","0","0.4792","+0.2123 (+79.56%)","0","0.486","+0.1797 (+58.65%)","0","0.5187","+0.1536 (+42.05%)","0","0.1366","+0.0648 (+90.29%)","0","0.155","+0.0665 (+75.13%)","0","0.1748","+0.0672 (+62.36%)","0"
"RankNet","CBRBench","4","0.5829","+0.1541 (+35.94%)","0","0.5131","+0.2695 (+110.64%)","0","0.5136","+0.2281 (+79.92%)","0","0.5381","+0.1875 (+53.49%)","0","0.1497","+0.0833 (+125.53%)","0","0.1684","+0.0855 (+103.26%)","0","0.1876","+0.0846 (+82.14%)","0"
"RankNet","CBRBench","5","0.5182","+0.0853 (+19.7%)","0","0.4183","+0.1543 (+58.43%)","0","0.425","+0.124 (+41.2%)","0","0.453","+0.0962 (+26.98%)","0","0.1174","+0.0496 (+73.25%)","0","0.135","+0.0513 (+61.34%)","0","0.1536","+0.0509 (+49.5%)","0"
"RankNet","CBRBench","MEAN","0.56376",NA,"0","0.48018",NA,"0","0.48378",NA,"0","0.51212",NA,"0","0.13842",NA,"0","0.15652",NA,"0","0.17604",NA,"0"
"RankNet","LOVBenchFull","1","0.8326","+0.398 (+91.58%)","0","0.9125","+0.6524 (+250.9%)","0","0.8739","+0.5716 (+189.1%)","0","0.8355","+0.4741 (+131.2%)","0","0.2827","+0.2109 (+293.92%)","0","0.3003","+0.2113 (+237.53%)","0","0.3162","+0.2072 (+190.15%)","0"
"RankNet","LOVBenchFull","2","0.8955","+0.4639 (+107.48%)","0","0.9575","+0.6878 (+254.95%)","0","0.9351","+0.6351 (+211.71%)","0","0.8833","+0.5295 (+149.66%)","0","0.302","+0.2275 (+305.36%)","0","0.3209","+0.2308 (+256.06%)","0","0.3357","+0.2261 (+206.36%)","0"
"RankNet","LOVBenchFull","3","0.8688","+0.431 (+98.44%)","0","0.9455","+0.6787 (+254.34%)","0","0.916","+0.6097 (+199.05%)","0","0.8634","+0.4982 (+136.43%)","0","0.285","+0.2132 (+297.07%)","0","0.3038","+0.2153 (+243.33%)","0","0.319","+0.2113 (+196.2%)","0"
"RankNet","LOVBenchFull","4","0.9115","+0.4827 (+112.58%)","0","0.9659","+0.7223 (+296.54%)","0","0.9472","+0.6618 (+231.81%)","0","0.902","+0.5514 (+157.3%)","0","0.2936","+0.2272 (+342.18%)","0","0.3133","+0.2304 (+278.14%)","0","0.3289","+0.2259 (+219.23%)","0"
"RankNet","LOVBenchFull","5","0.7177","+0.2848 (+65.8%)","0","0.635","+0.371 (+140.49%)","0","0.6654","+0.3644 (+121.05%)","0","0.7218","+0.3651 (+102.34%)","0","0.1967","+0.129 (+190.41%)","0","0.2203","+0.1366 (+163.33%)","0","0.2428","+0.14 (+136.25%)","0"
"RankNet","LOVBenchFull","MEAN","0.84522",NA,"0","0.88328",NA,"0","0.86752",NA,"0","0.8412",NA,"0","0.272",NA,"0","0.29172",NA,"0","0.30852",NA,"0"
"RankNet","LOVBenchLight","1","0.7122","+0.2776 (+63.88%)","0","0.6027","+0.3427 (+131.78%)","0","0.6403","+0.3381 (+111.84%)","0","0.7102","+0.3489 (+96.54%)","0","0.1878","+0.116 (+161.65%)","0","0.2115","+0.1225 (+137.7%)","0","0.2349","+0.1259 (+115.51%)","0"
"RankNet","LOVBenchLight","2","0.7343","+0.3027 (+70.14%)","0","0.6388","+0.369 (+136.8%)","0","0.6795","+0.3795 (+126.49%)","0","0.7376","+0.3838 (+108.46%)","0","0.2047","+0.1302 (+174.72%)","0","0.2286","+0.1385 (+153.68%)","0","0.2504","+0.1409 (+128.56%)","0"
"RankNet","LOVBenchLight","3","0.934","+0.4962 (+113.33%)","0","0.9804","+0.7135 (+267.39%)","0","0.9655","+0.6591 (+215.19%)","0","0.925","+0.5598 (+153.28%)","0","0.2955","+0.2237 (+311.69%)","0","0.3161","+0.2276 (+257.22%)","0","0.3323","+0.2246 (+208.6%)","0"
"RankNet","LOVBenchLight","4","0.7337","+0.305 (+71.12%)","0","0.6254","+0.3818 (+156.74%)","0","0.6729","+0.3874 (+135.71%)","0","0.7369","+0.3864 (+110.22%)","0","0.1981","+0.1317 (+198.37%)","0","0.2227","+0.1398 (+168.78%)","0","0.2446","+0.1416 (+137.46%)","0"
"RankNet","LOVBenchLight","5","0.9134","+0.4805 (+111.0%)","0","0.9628","+0.6988 (+264.62%)","0","0.9471","+0.6461 (+214.65%)","0","0.9043","+0.5476 (+153.49%)","0","0.2862","+0.2185 (+322.47%)","0","0.306","+0.2224 (+265.81%)","0","0.3222","+0.2194 (+213.49%)","0"
"RankNet","LOVBenchLight","MEAN","0.80552",NA,"0","0.76202",NA,"0","0.78106",NA,"0","0.8028",NA,"0","0.23446",NA,"0","0.25698",NA,"0","0.27688",NA,"0"
